,LOC,Inter-procedural,inter-procedural methods called,variables
HBASE-10549,52,y,5,13
HBASE-13317,82,y,9,18
HBASE-14621,54,y,10,15
HBASE-20104,35,y,8,11
HBASE-20616,87,y,25,14
HBASE-20865,166,y,20,13
HBASE-21330,181,y,26,7
HBASE-23594,107,y,20,15
HDFS-11303,195,y,26,24
HDFS-14847,26,y,7,3
HDFS-14920,183,y,20,26
HDFS-15211,118,y,14,12
HDFS-15398,118,y,14,12
YARN-2853,92,y,8,6
YARN-2853-2,92,y,8,6
YARN-8833,34,y,5,10
HIVE-15700,25,n,/,4
HIVE-16007,45,y,10,7
HIVE-19391,125,y,14,8
HIVE-25563,43,y,10,7
TPDB,20,y,2,3
TPDB,7,y,1,3
TPDB,1,n,/,1
TPDB,9,y,1,5
TPDB,8,y,1,4
TPDB,8,y,1,6
TPDB,8,y,1,4
TPDB,8,y,1,4
TPDB,17,n,/,4
TPDB,3,n,/,1
TPDB,3,y,1,1
TPDB,3,n,/,2
TPDB,3,n,/,2
TPDB,3,n,/,1
TPDB,6,n,/,1
TPDB,2,n,/,1
TPDB,4,n,/,4
TPDB,2,n,/,1
TPDB,4,n,/,2
TPDB,7,y,1,2
"
sv-benchmarks",31,y,3,11
"
sv-benchmarks",8,y,1,4
"
sv-benchmarks",8,n,/,3
"
sv-benchmarks",9,n,/,3
"
sv-benchmarks",9,n,/,3
"
sv-benchmarks",12,n,/,3
"
sv-benchmarks",12,n,/,3
"
sv-benchmarks",15,n,/,3
"
sv-benchmarks",15,n,/,3
"
sv-benchmarks",18,n,/,3
"
sv-benchmarks",18,n,/,3
"
sv-benchmarks",6,y,1,2
"
sv-benchmarks",6,n,/,4
"
sv-benchmarks",6,y,1,2
"
sv-benchmarks",11,n,/,3
"
sv-benchmarks",11,n,/,3
"
sv-benchmarks",12,n,/,2
"
sv-benchmarks",11,n,/,2
"
sv-benchmarks",5,n,/,3
"
sv-benchmarks",7,n,/,2